Student_id,S_GPA
1,1.43
2,2.53
3,1.35
4,0.62
5,0.96
6,3.43
7,3.22
8,3.11
9,2.27
10,2.83
11,0.87
12,1.84
13,2.51
14,1.85
15,1.26
16,0.71
17,2.69
18,0.94
19,0.69
20,3.91
21,2.15
22,1.93
23,0.8
24,1.07
25,0.76
26,1.38
27,2.53
28,3.4
29,1.58
30,3.37
31,0.78
32,2.27
33,1.46
34,1.45
35,0.54
36,1.72
37,3.27
38,2.46
39,0.51
40,2.45
41,3.31
42,3.51
43,3.23
44,1.36
45,2.61
46,0.87
47,1.74
48,2.32
49,0.7
50,1.09
51,2.12
52,3.68
53,0.98
54,1.74
55,3.4
56,3.47
57,2.85
58,3.88
59,2.89
60,2.16
61,3.38
62,2.66
63,2.53
64,3.06
65,3.71
66,3.97
67,1.84
68,2.33
69,2.9
70,3.66
71,0.62
72,0.87
73,3.52
74,3.37
75,3.57
76,0.98
77,3.84
78,0.56
79,2.13
80,2.55
81,1.41
82,2.01
83,1.52
84,3.02
85,1.45
86,0.72
87,2.59
88,2
89,1.54
90,1.43
91,2.4
92,3.24
93,0.95
94,2.34
95,1.05
96,2.62
97,2.27
98,1.44
99,3.37
100,1.93
